,Gflops,Execution time (s),Location
0,91.89,248.6972451210022,"[544, 620, 520, 32, 10, 64, 32, 76]"
1,96.23,136.4026141166687,"[400, 416, 460, 32, 10, 64, 20, 36]"
2,100.39,102.0955376625061,"[176, 548, 592, 32, 10, 64, 24, 52]"
3,90.85,88.88915610313416,"[656, 184, 540, 32, 10, 64, 16, 68]"
4,81.16,144.2204098701477,"[608, 568, 168, 32, 10, 48, 56, 68]"
5,86.21,135.00926756858826,"[432, 584, 236, 32, 10, 48, 56, 48]"
6,75.63,36.05848264694214,"[352, 212, 208, 32, 10, 48, 36, 32]"
7,91.43,148.49196863174438,"[624, 468, 372, 32, 10, 64, 28, 20]"
8,100.14,221.9019751548767,"[400, 496, 640, 32, 10, 64, 20, 72]"
9,93.79,153.71706676483154,"[480, 428, 452, 32, 10, 64, 40, 52]"
10,92.78,251.58467602729797,"[656, 320, 572, 32, 10, 64, 44, 24]"
11,90.17,158.59388327598572,"[560, 380, 464, 32, 10, 64, 48, 16]"
12,93.59,142.56032967567444,"[368, 336, 468, 32, 10, 64, 24, 68]"
13,91.31,98.38827991485596,"[464, 172, 608, 32, 10, 64, 32, 48]"
14,97.46,121.72133588790894,"[464, 532, 288, 32, 10, 64, 28, 36]"
15,79.78,73.30433773994446,"[320, 568, 168, 32, 10, 64, 68, 24]"
16,95.73,159.61169242858887,"[560, 376, 416, 32, 10, 64, 24, 32]"
17,96.22,155.39973545074463,"[432, 396, 492, 32, 10, 64, 28, 52]"
18,92.66,256.920893907547,"[656, 556, 304, 32, 10, 64, 60, 28]"
19,86.6,60.43904256820679,"[528, 252, 212, 32, 10, 64, 36, 40]"
